enterprise_id,Sector,Enterprise Country Headquarters,Workforce Size,Year,Enterprise IT Budget Estimate,Cloud Service Revenues,Other Service Revenues,Non-Surface Product Revenues,Surface Product Revenues,Office Products Revenues
1,Technology and Consulting,China,42,2015,0,0,0,0,0,0
2,Technology and Consulting,India,20,2015,0,0,0,0,0,0
3,Other,India,47,2015,55742,8197.352941,1942.229965,0,2444.824561,5640
4,Healthcare,Singapore,105,2015,159495,45570,8811.878453,0,7249.772727,18900
5,Education,China,35,2015,65135,6714.948454,1871.695402,0,3306.345178,4200
6,Financial Services,China,48,2015,46896,14655,2417.319588,0,2429.84456,5760
7,Education,China,6,2015,11184,822.3529412,358.4615385,2033.454545,0,720
8,Financial Services,India,3,2015,2853,792.5,135.8571429,594.375,0,360
9,Technology and Consulting,India,4,2015,7236,753.75,578.88,1507.5,0,480
10,Financial Services,China,77,2015,0,0,0,0,0,0
11,Education,India,19,2015,27683,0,1246.981982,7689.722222,1677.757576,2280
12,Healthcare,China,25,2015,0,0,0,0,0,0
13,Education,India,39,2015,62439,4955.47619,5291.440678,0,5574.910714,4680
14,Financial Services,India,27,2015,27189,7552.5,1049.76834,0,1401.494845,3240
15,Other,South Korea,4,2015,5164,374.2028986,172.1333333,622.1686747,0,480
16,Technology and Consulting,China,32,2015,0,0,0,0,0,0
17,Healthcare,China,154,2015,206822,73865,12024.53488,25222.19512,0,27720
18,Financial Services,India,69,2015,87354,23609.18919,2546.763848,12132.5,0,12420
19,Technology and Consulting,China,166,2015,346442,28396.88525,10341.55224,98983.42857,0,29880
20,Other,South Korea,45,2015,49680,7527.272727,1918.146718,7762.5,0,5400
21,Healthcare,China,63,2015,87255,32316.66667,3666.176471,18564.89362,0,11340
22,Financial Services,Singapore,6,2015,12306,3516,386.9811321,0,814.9668874,720
23,Healthcare,China,6,2015,7584,2916.923077,247.8431373,936.2962963,0,720
24,Technology and Consulting,China,169,2015,0,0,0,0,0,0
25,Healthcare,China,33,2015,41481,14814.64286,3050.073529,5058.658537,0,3960
26,Financial Services,China,28,2015,25312,10124.8,769.3617021,3894.153846,0,3360
27,Healthcare,South Korea,23,2015,0,0,0,0,0,0
28,Technology and Consulting,South Korea,19,2015,28120,0,928.0528053,6695.238095,2249.6,2280
29,Education,China,20,2015,36160,0,1844.897959,9271.794872,3476.923077,2400
30,Technology and Consulting,China,32,2015,49600,5276.595745,2740.331492,8701.754386,0,3840
31,Education,China,23,2015,43493,3198.014706,3883.303571,8364.038462,0,2760
32,Education,China,28,2015,53060,8558.064516,2088.976378,9475,0,3360
33,Technology and Consulting,China,440,2015,0,0,0,0,0,0
34,Financial Services,South Korea,26,2015,35074,9742.777778,2677.40458,0,2677.40458,3120
35,Education,China,20,2015,37440,3466.666667,1503.614458,10118.91892,0,2400
36,Education,India,33,2015,50259,3395.878378,4976.138614,0,3046,3960
37,Technology and Consulting,South Korea,147,2015,258867,28763,15227.47059,83505.48387,0,26460
38,Technology and Consulting,India,45,2015,82125,7675.233645,2481.117825,0,7267.699115,5400
39,Financial Services,China,15,2015,14265,3657.692308,957.3825503,1828.846154,0,1800
40,Other,China,49,2015,0,0,0,0,0,0
41,Other,China,7,2015,7770,1523.529412,479.6296296,1316.949153,0,840
42,Education,China,182,2015,388206,44621.37931,22057.15909,79225.71429,0,32760
43,Technology and Consulting,China,44,2015,69124,6521.132075,2327.407407,15710,0,5280
44,Healthcare,China,120,2015,164280,43231.57895,7173.799127,21615.78947,0,21600
45,Other,India,32,2015,40224,2957.647059,1962.146341,6704,0,3840
46,Technology and Consulting,China,26,2015,35516,3738.526316,0,10445.88235,1984.134078,3120
47,Financial Services,China,24,2015,23736,7192.727273,1192.763819,2967,0,2880
48,Education,India,9,2015,0,0,0,0,0,0
49,Technology and Consulting,China,87,2015,0,0,0,0,0,0
50,Healthcare,Singapore,16,2015,20416,5234.871795,907.3777778,2520.493827,0,1920
51,Education,China,21,2015,37779,0,1499.166667,7710,2974.724409,2520
52,Financial Services,India,48,2015,0,0,0,0,0,0
53,Other,India,31,2015,39990,0,1374.226804,7141.071429,1586.904762,3720
54,Education,China,39,2015,72891,5320.510949,3374.583333,0,5926.097561,4680
55,Education,China,48,2015,86784,9642.666667,4875.505618,22837.89474,0,5760
56,Healthcare,India,35,2015,56070,22428,5191.666667,0,3571.33758,4200
57,Education,India,7,2015,10171,869.3162393,847.5833333,0,716.2676056,840
58,Technology and Consulting,India,191,2015,0,0,0,0,0,0
59,Education,South Korea,4,2015,0,0,0,0,0,0
60,Technology and Consulting,China,185,2015,344285,26483.46154,15939.12037,68857,0,33300
61,Financial Services,Singapore,48,2015,84240,22767.56757,2477.647059,0,2945.454545,5760
62,Education,China,45,2015,0,0,0,0,0,0
63,Healthcare,India,45,2015,75510,26967.85714,2533.892617,14521.15385,0,5400
64,Technology and Consulting,China,18,2015,26730,3471.428571,921.7241379,7637.142857,0,2160
65,Education,China,27,2015,50571,0,3536.433566,11493.40909,4045.68,3240
66,Technology and Consulting,China,300,2015,775800,73885.71429,22884.95575,176318.1818,0,61200
67,Healthcare,China,135,2015,179145,71658,12270.20548,23571.71053,0,24300
68,Education,China,6,2015,10692,921.7241379,685.3846154,3054.857143,0,720
69,Financial Services,China,260,2015,0,0,0,0,0,0
70,Education,China,11,2015,20460,0,1826.785714,4650,1967.307692,1320
71,Technology and Consulting,India,25,2015,42825,3598.739496,1317.692308,12235.71429,0,3000
72,Healthcare,China,48,2015,0,0,0,0,0,0
73,Other,India,8,2015,9048,780,685.4545455,1145.316456,0,960
74,Technology and Consulting,China,13,2015,20722,1390.738255,1001.062802,3635.438596,0,1560
75,Healthcare,China,28,2015,34216,12220,1782.083333,6709.019608,0,3360
76,Technology and Consulting,China,20,2015,0,0,0,0,0,0
77,Technology and Consulting,China,13,2015,0,0,0,0,0,0
78,Other,South Korea,43,2015,0,0,0,0,0,0
79,Technology and Consulting,India,23,2015,41009,3178.992248,2867.762238,12815.3125,0,2760
80,Technology and Consulting,China,42,2015,0,0,0,0,0,0
81,Healthcare,China,36,2015,40896,16358.4,1622.857143,0,1875.963303,4320
82,Technology and Consulting,China,2,2015,3172,382.1686747,115.7664234,961.2121212,0,240
83,Other,India,49,2015,59976,5822.912621,1795.688623,0,3613.012048,5880
84,Other,India,16,2015,20144,1586.141732,0,3800.754717,1370.340136,1920
85,Technology and Consulting,South Korea,48,2015,71808,7890.989011,4603.076923,18412.30769,0,5760
86,Healthcare,South Korea,41,2015,51045,19632.69231,3425.838926,10860.6383,0,4920
87,Technology and Consulting,South Korea,45,2015,60165,6685,3069.642857,11141.66667,0,5400
88,Technology and Consulting,South Korea,31,2015,0,0,0,0,0,0
89,Other,China,36,2015,46332,0,1412.560976,6261.081081,1608.75,4320
90,Healthcare,China,3,2015,3609,1203,131.7153285,707.6470588,0,360
91,Healthcare,Singapore,47,2015,58327,16201.94444,2503.304721,0,3352.126437,5640
92,Technology and Consulting,China,5,2015,0,0,0,0,0,0
93,Other,China,43,2015,0,0,0,0,0,0
94,Technology and Consulting,China,26,2015,38662,2885.223881,3790.392157,9205.238095,0,3120
