,Ticker,Date,Price,Shares Outstanding,Market Cap,EV,EBITDA,EV/EBITDA,D/E,BV/Share,Total Cash,Total Liabilities,Total Revenue,Operating Cash Flow,BS Recent Date,CF Recent Date,IS Recent Date
0,AAB.TO,"04/22/2020, 02:59:49",0.035,96050000.0,3360000.0,-12090000.0,0,0,0.0,0.0,128.0,820.0,-24292.0,-179.0,2019-01-31,2019-01-31,2019-01-31
1,AAV.TO,"04/22/2020, 03:00:05",1.94,186910000.0,362610000.0,638300000.0,88820000.0,0.0,0.0,0.0,13099.0,502357.0,252136.0,156063.0,2019-12-31,2019-12-31,2019-12-31
2,ABT.TO,"04/22/2020, 03:00:23",9.74,42230000.0,411280000.0,382200000.0,17820000.0,0.0,0,0.0,35799.0,153927.0,98909.0,10260.0,2019-06-30,2019-06-30,2019-06-30
3,ABX.TO,"04/22/2020, 03:00:38",35.16,1780000000.0,62520000000.0,71780000000.0,4550000000.0,0.0,0.0,0.0,3314000.0,14565000.0,9717000.0,2833000.0,2019-12-31,2019-12-31,2019-12-31
4,AC.TO,"04/22/2020, 03:00:53",17.75,270730000.0,4680000000.0,8039999999.999999,2760000000.0,0.0,0.0,0.0,5889000.0,23359000.0,19131000.0,5712000.0,2019-12-31,2019-12-31,2019-12-31
5,ACB.TO,"04/22/2020, 03:01:13",1.02,1170000000.0,1340000000.0,1590000000.0,-220050000.0,0.0,0.0,0.0,315975.0,1112783.0,247939.0,-192245.0,2019-06-30,2019-06-30,2019-06-30
6,ACB-WT.TO,"04/22/2020, 03:01:28",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
7,ACD.TO,"04/22/2020, 03:01:44",4.54,8590000.0,38990000.0,333450000.0,0,0,0.0,0.0,0.0,309846.0,39086.0,-47560.0,2019-12-31,2019-12-31,2019-12-31
8,ACD-DB.TO,"04/22/2020, 03:01:59",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
9,ACI.TO,"04/22/2020, 03:02:14",33.49,0,1000000000.0,0.0,0,0,0,0,200.0,961700.0,326300.0,76600.0,2019-12-31,2019-12-31,2019-12-31
10,ACO-X.TO,"04/22/2020, 03:02:29",37.36,101470000.0,4280000000.0000005,16760000000.000002,1890000000.0,0.0,0.0,0.0,1061000.0,13845000.0,4706000.0,1542000.0,2019-12-31,2019-12-31,2019-12-31
11,ACO-Y.TO,"04/22/2020, 03:02:45",38.97,13210000.0,4510000000.0,16719999999.999998,1890000000.0,0.0,0.0,0.0,1061000.0,13845000.0,4706000.0,1542000.0,2019-12-31,2019-12-31,2019-12-31
