,Ticker,Date,Price,Shares Outstanding,Market Cap,EV,EBITDA,EV/EBITDA,D/E,BV/Share,Total Cash,Total Liabilities,Total Revenue,Operating Cash Flow,BS Recent Date,CF Recent Date,IS Recent Date
0,A.V,"04/19/2020, 23:49:01",0.4,44320000.0,17730000.0,17350000.0,0,0,0.0,0.0,701.0,92.0,0.0,-89.0,2019-03-31,2019-03-31,2019-03-31
1,AAG.V,"04/19/2020, 23:49:21",0.205,77310000.0,15850000.0,14710000.0,0,0,0.0,0.0,43.0,650.0,0.0,-278.0,2019-05-31,2019-05-31,2019-05-31
2,AAL.V,"04/19/2020, 23:49:42",0.27,162810000.0,43960000.0,42290000.0,-1780000.0,0.0,0,0.0,1498.0,574.0,0.0,-4964.0,2019-07-31,2019-07-31,2019-07-31
3,AAN.V,"04/19/2020, 23:50:02",0.03,332980000.0,9990000.0,9820000.0,-2990000.0,0.0,0,0.0,87.0,938.0,0.0,-4303.0,2018-12-31,2018-12-31,2018-12-31
4,AAP-H.V,"04/19/2020, 23:50:24",0.005,72080000.0,0.0,0.0,-2140000.0,0.0,0,0.0,1189.0,3959.0,504.0,-3342.0,2018-12-31,2018-12-31,2018-12-31
5,AAT.V,"04/19/2020, 23:50:44",0.02,50210000.0,1000000.0,4630000.0,0.0,0.0,0,0.0,0.0,5782.0,2703.0,-660.0,2018-12-31,2018-12-31,2018-12-31
6,AAX.V,"04/19/2020, 23:51:05",0.07,35290000.0,2470000.0,2470000.0,0,0,0.0,0.0,17.0,492.0,0.0,-225.0,2019-05-31,2019-05-31,2019-05-31
7,AAZ.V,"04/19/2020, 23:51:25",0.045,151920000.0,6840000.0,5680000.0,0,0,0,0.0,1515.0,70.0,0.0,-2235.0,2019-09-30,2019-09-30,2019-09-30
8,AB-H.V,"04/19/2020, 23:51:45",0.35,2840000.0,0.0,24590000.0,0.0,0.0,0,0.0,1509.0,50628.0,1304.0,-1074.0,2018-12-31,2018-12-31,2018-12-31
9,ABI.V,"04/19/2020, 23:52:06",0.06,307310000.0,18440000.0,14780000.0,3010000.0,0.0,0,0.0,2796.0,11402.0,25668.0,4241.0,2019-06-30,2019-06-30,2019-06-30
10,ABN.V,"04/19/2020, 23:52:26",0.07,117420000.0,8220000.000000001,6800000.0,-1100000.0,0.0,0,0.0,2088.0,511.0,0.0,-1530.0,2019-09-30,2019-09-30,2019-09-30
11,ABR.V,"04/19/2020, 23:52:46",0.6,47570000.0,28540000.0,27550000.0,0,0,0,0.0,1010.0,20.0,0.0,-195.0,2019-10-31,2019-10-31,2019-10-31
12,ABRA.V,"04/19/2020, 23:53:06",0.09,249460000.0,22450000.0,10890000.0,0.0,0.0,0,0.0,11.0,951.0,0.0,-2332.0,2018-12-31,2018-12-31,Null
13,ABZ.V,"04/19/2020, 23:53:26",0.295,42090000.0,12420000.0,12170000.0,0,0,0,0.0,75.0,144.0,0.0,-490.0,2019-09-30,2019-09-30,2019-09-30
14,ACC-P.V,"04/19/2020, 23:53:46",0.2,12000000.0,2400000.0,0.0,0,0,0,0.0,875.0,68.0,0.0,-52.0,2019-12-31,2019-12-31,2019-12-31
15,ACE-H.V,"04/19/2020, 23:54:08",0.17,32479999.999999996,5520000.0,-1220000.0,0,0,0,0.0,0.0,0.0,0.0,909.0,Null,ttm,ttm
16,ACES.V,"04/19/2020, 23:54:28",1.25,68330000.0,85420000.0,172710000.0,26080000.0,0.0,0,0.0,4717.0,66542.0,51488.0,8230.0,2018-02-28,2018-02-28,2018-02-28
17,ACP.V,"04/19/2020, 23:54:48",0.045,20270000.0,0.0,0.0,0,0,0,0.0,51.0,367.0,0.0,-101.0,2019-01-31,2019-01-31,2019-01-31
18,ACS.V,"04/19/2020, 23:55:08",0.1,54420000.0,5440000.0,13440000.0,0,0,0.0,0.0,0.0,66555.0,732.0,330.0,2019-05-31,2019-05-31,2019-05-31
19,ACST.V,"04/19/2020, 23:55:29",0.89,90210000.0,80290000.0,56540000.0,-36150000.0,0.0,0,0.0,34386.0,34509.0,0.0,-32476.0,2019-03-31,2019-03-31,2019-03-31
20,ACU.V,"04/19/2020, 23:55:49",0.085,107200000.0,9110000.0,6650000.0,0.0,0.0,0.0,0.0,1016.0,227.0,438.0,-1514.0,2019-03-31,2019-03-31,2019-03-31
21,ADCO.V,"04/19/2020, 23:56:09",0.59,55360000.0,32659999.999999996,29290000.0,3490000.0,0.0,0.0,0.0,3710.0,2174.0,11301.0,3028.0,2019-12-31,2019-12-31,2019-12-31
22,ADD.V,"04/19/2020, 23:56:31",0.04,43730000.0,1750000.0,1240000.0,-1790000.0,0.0,0.0,0.0,17.0,765.0,0.0,-1431.0,2018-12-31,2018-12-31,2018-12-31
23,ADE.V,"04/19/2020, 23:56:51",0.005,677210000.0,3390000.0,5850000.0,0.0,0.0,0,0.0,76.0,2613.0,0.0,-764.0,2018-12-31,2018-12-31,2018-12-31
24,ADG.V,"04/19/2020, 23:57:12",0.01,61880000.0,0.0,0.0,0,0,0,0.0,28.0,6.0,0.0,-99.0,2019-07-31,2019-07-31,2019-07-31
25,ADK.V,"04/19/2020, 23:57:32",0.195,61370000.0,11970000.0,8790000.0,-2170000.0,0.0,0,0.0,693.0,6290.0,326.0,-2320.0,2019-03-31,2019-03-31,2019-03-31
